w1_q24_met_online,w1_ppage,w1_ppgender,w1_ppeduc,w1_ppincimp,w1_ppethm,w1_ppwork,w1_married,w1_same_sex_couple_raw,w1_relate_duration_in2017_years,w1_q34,still_together_w3,w1_weight_combo
0.0,52.0,Female,Bachelors degree,"$40,000 to $49,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,29.41666603088379,Excellent,1.0,1.0029815435409546
0.0,50.0,Male,Masters degree,"$60,000 to $74,999",Hispanic,Working - as a paid employee,1.0,NOT same-sex souple,18.91666603088379,Excellent,1.0,1.0199428796768188
0.0,53.0,Female,Professional or Doctorate degree,"$200,000 to $249,999","Other, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,15.416666984558104,Good,1.0,1.814751982688904
0.0,54.0,Male,Professional or Doctorate degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,19.41666603088379,Good,1.0,0.8100743293762207
0.0,52.0,Female,"Some college, no degree","$150,000 to $174,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,33.08333206176758,Fair,1.0,1.0612154006958008
0.0,39.0,Female,"Some college, no degree","$85,000 to $99,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,16.16666603088379,Fair,1.0,1.325247287750244
1.0,68.0,Male,Associate degree,"$125,000 to $149,999","2+ Races, Non-Hispanic",Not working - retired,0.0,NOT same-sex souple,0.0,Good,1.0,0.3419409096240997
0.0,74.0,Female,"Some college, no degree","$200,000 to $249,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,41.0,Excellent,1.0,1.4267892837524414
0.0,70.0,Female,Professional or Doctorate degree,"$50,000 to $59,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,33.08333206176758,Good,0.0,0.9282384514808656
0.0,64.0,Male,Bachelors degree,"$175,000 to $199,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,46.08333206176758,Excellent,1.0,0.7756993174552917
0.0,48.0,Male,Associate degree,"$175,000 to $199,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,30.25,Good,1.0,0.9135385751724244
0.0,60.0,Female,Bachelors degree,"$100,000 to $124,999",Hispanic,Working - as a paid employee,0.0,NOT same-sex souple,8.5,Excellent,1.0,1.1866164207458496
0.0,50.0,Female,"Some college, no degree","$40,000 to $49,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,3.9166667461395264,Excellent,1.0,1.0428972244262695
0.0,64.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$30,000 to $34,999","Black, Non-Hispanic",Not working - looking for work,1.0,NOT same-sex souple,47.16666793823242,Excellent,1.0,1.2019946575164795
0.0,55.0,Female,Associate degree,"$15,000 to $19,999","2+ Races, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,0.5,Good,0.0,0.4299138188362121
0.0,52.0,Male,Associate degree,"$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,26.5,Excellent,1.0,0.9580904245376588
0.0,59.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","2+ Races, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,42.83333206176758,Excellent,0.0,0.524445116519928
0.0,64.0,Male,Bachelors degree,"$50,000 to $59,999",Hispanic,Not working - retired,1.0,NOT same-sex souple,41.5,Good,1.0,1.013610601425171
0.0,55.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,22.91666603088379,Good,1.0,1.1947578191757202
0.0,57.0,Male,Professional or Doctorate degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,38.41666793823242,Good,0.0,0.7805615663528442
0.0,40.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$125,000 to $149,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,21.91666603088379,Missing,1.0,1.3283002376556396
0.0,21.0,Female,Associate degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,1.9166666269302368,Excellent,1.0,1.0183597803115845
0.0,38.0,Female,Bachelors degree,"$175,000 to $199,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,15.75,Good,1.0,1.2045954465866089
0.0,27.0,Female,"Some college, no degree","$40,000 to $49,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,2.75,Excellent,1.0,1.1660367250442505
